year,energy_kbtu,ghg_tons,dc_floor
2022,1028515.1,72.7,Not Available
2022,3809071.8,230.4,Not Available
2022,4442240.7,266.1,Not Available
2022,844118.9,60.9,Not Available
2022,2276589.2,176.4,Not Available
2022,628906.5,43.5,Not Available
2022,1611989.1,129.2,Not Available
2022,515455.8,41.7,Not Available
2022,4473912.1,324.9,Not Available
2022,4528296.5,281,Not Available
2022,3178897.1,183.2,Not Available
2022,27725408.8,1847.1,Not Available
2022,2841881.5,186.2,Not Available
2022,2209918.8,135.9,Not Available
2022,1620100,86.1,Not Available
2022,Not Available,0,Not Available
2022,5913926.2,337.7,Not Available
2022,5161012.6,415.3,Not Available
2022,2265158.5,191.5,Not Available
2022,2120479,163.5,Not Available
2022,775375.1,60.3,Not Available
2022,2446012.9,145.9,Not Available
2022,1100919.9,82.7,Not Available
2022,1869589.2,125.3,Not Available
2022,832356.5,61.3,Not Available
2022,1866687,130.6,Not Available
2022,4149664.1,314.9,Not Available
2022,2831238.3,205.2,Not Available
2022,8607849.6,647.6,Not Available
2022,3743336.3,285.2,Not Available
2022,577455,41.9,Not Available
2022,6442309.8,403.1,Not Available
2022,2607074.7,150.5,Not Available
2022,3604008.5,247.2,Not Available
2022,3024764.3,182,Not Available
2022,6998521.7,538.5,Not Available
2022,907926.4,76.8,Not Available
2022,2374824.7,142.2,Not Available
2022,1072840,67.5,Not Available
2022,3127080.3,180.7,Not Available
2022,644167.8,47,Not Available
2022,522405,37,Not Available
2022,2440076.6,184.5,Not Available
2022,1268979.3,103.1,Not Available
2022,125400,6.7,Not Available
2022,13536765.1,771.2,Not Available
2022,2556330.5,212.8,Not Available
2022,1701748.5,142.1,Not Available
2022,6343792.5,450.6,Not Available
2022,3879260.5,269.8,Not Available
2022,5594933.1,374.8,Not Available
2022,2227829.6,165.6,Not Available
2022,3421385.9,264.1,Not Available
2022,1766524.3,119.6,Not Available
2022,5751850.3,445.4,Not Available
2022,8247961.6,640.6,Not Available
2022,4162490.5,312.6,Not Available
2022,8224515.4,589.4,Not Available
2022,10977492.5,879.1,Not Available
2022,4316422.1,330,Not Available
2022,4584841,309.2,Not Available
2022,183647.5,15.5,Not Available
2022,9084910.6,654.7,Not Available
2022,4188023.6,325.5,Not Available
2022,9335797.8,567.9,Not Available
2022,2856584.4,169,Not Available
2022,437592.4,37,Not Available
2022,2205587.4,141.5,Not Available
2022,3729298.7,232.9,Not Available
2022,10678403.8,739.3,Not Available
2022,251133.7,20.4,Not Available
2022,2258586.8,170.9,Not Available
2022,5352979.2,426.8,Not Available
2022,2845169.1,200.3,Not Available
2022,2653613.7,204,Not Available
2022,10016371.6,713.5,Not Available
2022,10318473.8,639.5,Not Available
2022,4254912.6,294.5,Not Available
2022,2384983.8,141.2,Not Available
2022,1558407.5,104.4,Not Available
2022,1644417.9,134.3,Not Available
2022,1292496.5,85.7,Not Available
2022,6528751.6,381.1,Not Available
2022,656034,51.5,Not Available
2022,713343.6,52.8,Not Available
2022,5150605.3,296.9,Not Available
2022,656687.2,55.5,Not Available
2022,97972.2,8.3,Not Available
2022,369734.5,31.3,Not Available
2022,18830.8,1.6,Not Available
2022,155669.1,13.2,Not Available
2022,642206.6,54.3,Not Available
2022,1221482.4,103.3,Not Available
2022,1100367.7,85.2,Not Available
2022,4537022.4,272.8,Not Available
2022,5736532.1,326.2,Not Available
2022,9804838.3,739.6,Not Available
2022,5990982.8,374.9,Not Available
2022,9035274.1,566.9,Not Available
2022,8162130.2,489.8,Not Available
2022,2510041.8,147.5,Not Available
2022,2850647.2,174.7,Not Available
2022,2801441.2,167.6,Not Available
2022,10834190.6,674.2,Not Available
2022,5071793.8,315.8,Not Available
2022,5210249.6,316.6,Not Available
2022,6491948.8,402,Not Available
2022,5371122.4,321.5,Not Available
2022,4586423.3,285.5,Not Available
2022,8358864.4,505.1,Not Available
2022,5621062.4,347,Not Available
2022,7988773.9,659.6,Not Available
2022,1508653.1,120.6,Not Available
2022,3034343.9,172.6,Not Available
2022,3259911,201.2,Not Available
2022,834958.8,68.9,Not Available
2022,18133873.7,1114.5,Not Available
2022,2301784.1,137.4,Not Available
2022,2141570.1,123.7,Not Available
2022,6892575.1,578.6,Not Available
2022,1269194.5,83.4,Not Available
2022,3454144.9,292,Not Available
2022,1202340.2,77.9,Not Available
2022,3305048.2,205.8,Not Available
2022,9435669.2,539.2,Not Available
2022,4451590.7,250.7,Not Available
2022,7782472.3,457.6,Not Available
2022,3594323,208.4,Not Available
2022,2865378.5,166.5,Not Available
2022,200020.8,15.9,Not Available
2022,4737043.2,288.7,Not Available
2022,1308548,110,Not Available
2022,5510.4,0.5,Not Available
2022,12608690.5,739.9,Not Available
2022,12614200.9,740.4,Not Available
2022,257131.7,21.7,Not Available
2022,27420384.6,1779.1,Not Available
2022,6074285.6,381.6,Not Available
2022,1872649.2,133.8,Not Available
2022,4491992.9,273.3,Not Available
2022,12311762.6,878.2,Not Available
2022,1459936.9,109.3,Not Available
2022,431402,23.5,Not Available
2022,2122816.9,160.1,Not Available
2022,362903.7,30.7,Not Available
2022,1672973.4,102.8,Not Available
2022,0,0,Not Available
2022,4917505.6,375.9,Not Available
2022,0,0,Not Available
2022,4580750.6,285,Not Available
2022,829782.6,64.4,Not Available
2022,976347.5,75.4,Not Available
2022,8045143.5,622.2,Not Available
2022,4513952,345.9,Not Available
2022,71190707,4355.6,Not Available
2022,2691822.4,227.6,Not Available
2022,47042958.5,2879.4,Not Available
2022,48021930.7,3693.4,Not Available
2022,11699204.3,793,Not Available
2022,12102536.2,989.5,Not Available
2022,16247390.6,1036.6,Not Available
2022,29185545,1836.2,Not Available
2022,2810267,206.9,Not Available
2022,3446508.1,240.6,Not Available
2022,19345797.7,1533,Not Available
2022,3629924.2,239,Not Available
2022,1911920.1,133.9,Not Available
2022,16278605.6,1201.7,Not Available
2022,4861291,347.1,Not Available
2022,11394335.1,747.6,Not Available
2022,31413594.7,2339.5,Not Available
2022,8189329.5,629,Not Available
2022,6029108,365.9,Not Available
2022,63697896.2,4458.9,Not Available
2022,3802213.8,261.2,Not Available
2022,46539942.6,3306.2,Not Available
2022,6602230.4,431.3,Not Available
2022,31486650,2380.6,Not Available
2022,3753020.3,255.1,Not Available
2022,19634817.5,1335,Not Available
2022,2718980.5,212.3,Not Available
2022,6954885.1,421.9,Not Available
2022,5651730.6,334.3,Not Available
2022,5483492.5,328.5,Not Available
2022,2305677.3,133.7,Not Available
2022,3784984.4,219.8,Not Available
2022,3878509.4,226.9,Not Available
2022,4391876.4,256.3,Not Available
2022,3749388,216.1,Not Available
2022,3437704.6,201.6,Not Available
2022,600443.7,47.1,Not Available
2022,9369909.1,516.3,Not Available
2022,629169.2,48.5,Not Available
2022,3171101.6,189,Not Available
2022,4144061,242.3,Not Available
2022,7505039.1,452.9,Not Available
2022,4589465.3,266.1,Not Available
2022,4771643.2,276.1,Not Available
2022,2802192.6,161.7,Not Available
2022,1227268.7,80.5,Not Available
2022,8139469.7,480.5,Not Available
2022,6462852.6,365.7,Not Available
2022,2950604.5,173.1,Not Available
2022,4717342.2,274.6,Not Available
2022,7451767.2,447.3,Not Available
2022,5501877.5,322.8,Not Available
2022,9574922.3,549.6,Not Available
2022,5284126.7,307.4,Not Available
2022,4464378.8,269.4,Not Available
2022,6399309.1,376.9,Not Available
2022,7217525.8,422.9,Not Available
2022,5790370.3,343.1,Not Available
2022,8220495.8,485.1,Not Available
2022,4182486.1,257.3,Not Available
2022,6447350.3,376.8,Not Available
2022,5464037.6,317.4,Not Available
2022,9838071.5,629.8,Not Available
2022,4366860.7,250,Not Available
2022,5040075.9,298.3,Not Available
2022,6004715.9,364,Not Available
2022,4732820.1,273.7,Not Available
2022,5100371.4,297.2,Not Available
2022,7995476.7,453.4,Not Available
2022,5173708.3,305.4,Not Available
2022,5018197.5,293.2,Not Available
2022,4459554.7,258.7,Not Available
2022,5209437.8,305.2,Not Available
2022,4234827.6,240.7,Not Available
2022,5501107.3,347.2,Not Available
2022,5236846.7,298.3,Not Available
2022,225500,12,Not Available
2022,8681550.5,481.2,Not Available
2022,2348989.7,176,Not Available
2022,2503368.4,143.7,Not Available
2022,Not Available,Not Available,Not Available
2022,Not Available,Not Available,Not Available
2022,5353986.2,307.8,Not Available
2022,7130113.6,405.6,Not Available
2022,9818083.5,574.4,Not Available
2022,6156817.2,353.5,Not Available
2022,5211006,295.4,Not Available
2022,6554427.8,376.6,Not Available
2022,5555185.2,315,Not Available
2022,5367120.3,307.1,Not Available
2022,6218369.7,359.7,Not Available
2022,4786120.8,279.9,Not Available
2022,3946886.1,228.5,Not Available
2022,4018117.1,229.8,Not Available
2022,6892502.8,389.8,Not Available
2022,3648328,206.5,Not Available
2022,7041423.7,414.6,Not Available
2022,6767708,390.9,Not Available
2022,5928721.8,352.5,Not Available
2022,6494733.9,369.7,Not Available
2022,4008282,244.9,Not Available
2022,2573578.3,150.7,Not Available
2022,6970144.7,419,Not Available
2022,4528341.5,288.9,Not Available
2022,9882638.6,705.3,Not Available
2022,15301919.1,992,Not Available
2022,9537369.5,548.5,Not Available
2022,5575632.3,330.9,Not Available
2022,5374431.9,316.9,Not Available
2022,4147179.9,245,Not Available
2022,2343863,137.5,Not Available
2022,2255605.7,134.7,Not Available
2022,3671412.6,227.2,Not Available
2022,2879717.9,168.9,Not Available
2022,3600241.1,212.9,Not Available
2022,2461713.6,146.8,Not Available
2022,3693679.5,216.9,Not Available
2022,4131243.9,258.8,Not Available
2022,2477469,147.1,Not Available
2022,2502525.1,148.3,Not Available
2022,3308202,194.9,Not Available
2022,4805778.9,272,Not Available
2022,4942781.1,287.8,Not Available
2022,8326353.4,504.4,Not Available
2022,6743949.7,402.6,Not Available
2022,5213368.4,310.5,Not Available
2022,3186562,246.2,Not Available
2022,9360160.8,532.1,Not Available
2022,3004687.1,233.7,Not Available
2022,9598351.3,698.7,Not Available
2022,2393419.1,132.2,Not Available
2022,399450.2,33.1,Not Available
2022,4151312.1,252.6,Not Available
2022,2663907.9,204.4,Not Available
2022,2568085.1,155,Not Available
2022,14008059.8,821.2,Not Available
2022,3318071.8,193.8,Not Available
2022,3545748.7,209.5,Not Available
2022,2745832,166,Not Available
2022,1066609.6,89.6,Not Available
2022,2567044.3,162.8,Not Available
2022,5115158.3,292.9,Not Available
2022,6427836.4,411,Not Available
2022,22321793.1,1360.4,Not Available
2022,6655194.8,396.4,Not Available
2022,9777504.6,574.6,Not Available
2022,9128421,580.3,Not Available
2022,6839420.4,397.5,Not Available
2022,7441065.6,436.8,Not Available
2022,7623036,448.3,Not Available
2022,10411886.7,612.2,Not Available
2022,7822059.1,462.8,Not Available
2022,8909314.5,540.6,Not Available
2022,10895812.8,646.4,Not Available
2022,6761269.3,398.7,Not Available
2022,9183355.1,534,Not Available
2022,4890099,287.7,Not Available
2022,21670256,1261.7,Not Available
2022,11217115.3,669.7,Not Available
2022,12101852.2,725.7,Not Available
2022,21864575.2,1298.4,Not Available
2022,5309032.5,308,Not Available
2022,17813587.8,1052.5,Not Available
2022,4911816.4,287,Not Available
2022,8314415.8,490.7,Not Available
2022,16156500.7,933.5,Not Available
2022,17410183.9,988.8,Not Available
2022,21073804.2,1197,Not Available
2022,9745224.6,568,Not Available
2022,6613179.5,393.7,Not Available
2022,15430158.8,904.4,Not Available
2022,12020520,693.5,Not Available
2022,6725883.1,381,Not Available
2022,6590826,377.5,Not Available
2022,16407043.2,950,Not Available
2022,10603010.8,616.5,Not Available
2022,12385983.6,827.7,Not Available
2022,9885004.1,579.2,Not Available
2022,8163214.4,475.3,Not Available
2022,2656152.6,156.8,Not Available
2022,3082855.8,178,Not Available
2022,4160080.4,234.8,Not Available
2022,3405031.9,192.3,Not Available
2022,3220815.8,188.4,Not Available
2022,3192103.8,186,Not Available
2022,3444946,201,Not Available
2022,13316709,758.6,Not Available
2022,5759930.6,330.8,Not Available
2022,1056389.1,67.5,Not Available
2022,4680998.3,318.3,Not Available
2022,5040804.6,360.3,Not Available
2022,4241615.5,308,Not Available
2022,2190561.5,159.8,Not Available
2022,6673193.4,470.6,Not Available
2022,5317354.3,400.9,Not Available
2022,6563119.3,477.3,Not Available
2022,4964364.2,376.2,Not Available
2022,3698206.7,256.9,Not Available
2022,2715383.4,207.6,Not Available
2022,9439783.6,668.6,Not Available
2022,5254579.1,356.7,Not Available
2022,8094518.6,569.5,Not Available
2022,16150462.9,1076.4,Not Available
2022,7675641.5,513.9,Not Available
2022,9899463.8,712.2,Not Available
2022,7801937.1,534.6,Not Available
2022,2516155.4,181.9,Not Available
2022,11116365.8,816.4,Not Available
2022,6902200.7,505.6,Not Available
2022,2651025.6,203,Not Available
2022,1253905.1,79.8,Not Available
2022,11661611.2,684.6,Not Available
2022,2030716.2,133.3,Not Available
2022,1498917.2,126.2,Not Available
2022,655498.6,48.7,Not Available
2022,8054800.7,655.6,Not Available
2022,4752242.7,352.7,Not Available
2022,6549338.2,467,Not Available
2022,3754761.7,254.2,Not Available
2022,1872381.5,151.3,Not Available
2022,3842291.1,242.7,Not Available
2022,5043842.4,361,Not Available
2022,1161049.4,76.9,Not Available
2022,4520804.2,340.2,Not Available
2022,8160770.9,582.4,Not Available
2022,2684123.4,156.5,Not Available
2022,1395130.3,84.7,Not Available
2022,6475224.7,454.4,Not Available
2022,3654297.1,225.3,Not Available
2022,10696689.1,683.8,Not Available
2022,13574734.3,871.3,Not Available
2022,956525.3,80.8,Not Available
2022,4158586.8,284.3,Not Available
2022,28271453,1749.3,Not Available
2022,473370.6,40,Not Available
2022,39582.6,3.3,Not Available
2022,1941599.9,132.4,Not Available
2022,3905206.6,301.2,Not Available
2022,4079517.2,232.4,Not Available
2022,3552295.6,265.6,Not Available
2022,14707213,843.2,Not Available
2022,676968.3,51.9,Not Available
2022,3476262.7,202.5,Not Available
2022,3922069.9,296.5,Not Available
2022,3219147.8,202.6,Not Available
2022,17436131.3,1130.9,Not Available
2022,4298537.9,251.8,Not Available
2022,5833171.9,334.2,Not Available
