year,energy_kbtu,ghg_tons,dc_floor
2020,5486801.1,323.2,Not Available
2020,5358735.7,343.6,Not Available
2020,6082668.4,488.5,Not Available
2020,5002539.1,344.7,Not Available
2020,45571424.5,3211.5,Not Available
2020,2795787.5,214.1,Not Available
2020,1316112.3,107.4,Not Available
2020,1298071.7,86.3,Not Available
2020,703718.7,59.5,Not Available
2020,2833188.6,183.8,Not Available
2020,3727016.3,222.1,Not Available
2020,3617708,207.4,Not Available
2020,7927496.8,494,Not Available
2020,665515.6,39.5,Not Available
2020,582810,45.3,Not Available
2020,4534607,383.4,Not Available
2020,1639932.7,138.6,Not Available
2020,672928.3,51.5,Not Available
2020,5138890.8,429,Not Available
2020,991955.7,67.9,Not Available
2020,6433431.5,424.3,Not Available
2020,6512624.2,432.6,Not Available
2020,635594,50.6,Not Available
2020,197500.2,16.7,Not Available
2020,7639482.8,447.8,Not Available
2020,2549251.2,215.5,Not Available
2020,2023947.8,171.1,Not Available
2020,11655266.6,682.5,Not Available
2020,6107042.4,352.2,Not Available
2020,5542368.6,316.5,Not Available
2020,16538814.4,1274.3,Not Available
2020,5978584.1,343.5,Not Available
2020,7969219.8,624.7,Not Available
2020,87969.6,5.3,Not Available
2020,7948539.5,523.3,Not Available
2020,7350911.2,429.6,Not Available
2020,2798893.7,159,Not Available
2020,10212277.7,595.7,Not Available
2020,11482580.4,672.5,Not Available
2020,19688372.7,1100.7,Not Available
2020,4600951.1,277.2,Not Available
2020,4675017.2,271.5,Not Available
2020,5193032.3,389.6,Not Available
2020,4891094.3,276.7,Not Available
2020,6047350.7,357.2,Not Available
2020,5676567.4,325.8,Not Available
2020,14619516.5,906.1,Not Available
2020,6458208.9,374.5,Not Available
2020,650891.4,55,Not Available
2020,2531155.7,145,Not Available
2020,1495737.9,126.5,Not Available
2020,6111986.6,367.1,Not Available
2020,1398732.4,85.5,Not Available
2020,12304915.6,719.9,Not Available
2020,4564043.3,263.5,Not Available
2020,5416730.9,307.7,Not Available
2020,2281999.6,131.3,Not Available
2020,6987675.4,444.7,Not Available
2020,9381167.8,560.8,Not Available
2020,3830939.2,230.1,Not Available
2020,9535893,695.2,Not Available
2020,9889155,735.3,Not Available
2020,26057949,1502.5,Not Available
2020,11477895.3,673.4,Not Available
2020,34110714.3,2113.6,Not Available
2020,13943287.9,836.6,Not Available
2020,14451255.4,902.2,Not Available
2020,34259637.8,2240.1,Not Available
2020,24140511.3,1386.2,Not Available
2020,11674633,816.9,Not Available
2020,20639506,1284.7,Not Available
2020,3378562.2,250.6,Not Available
2020,4320256,343.8,Not Available
2020,15977018.8,1275.2,Not Available
2020,4436662.7,268.4,Not Available
2020,5175509.7,367.9,Not Available
2020,17736357.4,1055.1,Not Available
2020,14639079,1062.6,Not Available
2020,64498680.3,3726.6,Not Available
2020,13187665.5,937.7,Not Available
2020,19605196,1302.2,Not Available
2020,103246364.7,5760.1,Not Available
2020,8162135.3,690,Not Available
2020,4153018.7,351.1,Not Available
2020,37532086.2,2713.9,Not Available
2020,30881726.5,2222.9,Not Available
2020,33926968,2240.3,Not Available
2020,50899775.8,3302.7,Not Available
2020,31075739.1,1957.4,Not Available
2020,14811094.9,883.9,Not Available
2020,43645218.3,2671.5,Not Available
2020,16934415.5,1010.4,Not Available
2020,17284057.3,1019.3,Not Available
2020,16592298.6,1006.6,Not Available
2020,22657814.2,1487.6,Not Available
2020,15353532.9,1132.6,Not Available
2020,17603951.9,1143.8,Not Available
2020,3191925,267.6,Not Available
2020,9364605.6,599.5,Not Available
2020,15957194.2,1161.5,Not Available
2020,24086824.6,1456.3,Not Available
2020,10394913.4,800.7,Not Available
2020,3682144.3,217.2,Not Available
2020,17699714,1047.6,Not Available
2020,7606451.9,541.1,Not Available
2020,15227018.9,932.9,Not Available
2020,16675802.1,1103.4,Not Available
2020,11001135.6,747.2,Not Available
2020,12866797.9,801.5,Not Available
2020,11657203.4,794.7,Not Available
2020,7441575.9,570,Not Available
2020,23302309.4,1440.9,Not Available
2020,4874455.5,324.8,Not Available
2020,4159572.8,260.9,Not Available
2020,5374280,338.9,Not Available
2020,8577844.5,528.7,Not Available
2020,5271810.5,357.7,Not Available
2020,6750153.1,472.7,Not Available
2020,6232188.5,425.1,Not Available
2020,4619589.4,320.6,Not Available
2020,7062813.7,489.1,Not Available
2020,30290764.6,1796.2,Not Available
2020,34437373.4,2143.1,Not Available
2020,25334387.1,1850.3,Not Available
2020,17882914.9,1247.8,Not Available
2020,4669403.6,277.1,Not Available
2020,10162696.6,591.9,Not Available
2020,26588653.6,1937.8,Not Available
2020,14792428.4,1078.4,Not Available
2020,14049982.7,1068.9,Not Available
2020,22830486,1411,Not Available
2020,16829822.3,1292.3,Not Available
2020,13976232.6,1042.3,Not Available
2020,45933305.6,2782.3,Not Available
2020,51665244.8,3270.4,Not Available
2020,5234461.7,348.8,Not Available
2020,68830554.3,4155.1,Not Available
2020,65664540.6,3828.8,Not Available
2020,10961901.6,673.6,Not Available
2020,8604893.9,518.6,Not Available
2020,18130359.9,1197.5,Not Available
2020,7693986.2,588.5,Not Available
2020,8166845.3,539.2,Not Available
2020,7291457.9,416.5,Not Available
2020,5597152.1,327.7,Not Available
2020,13821839,1059.4,Not Available
2020,7196583,420.3,Not Available
2020,6415311.7,372.9,Not Available
2020,3991770.1,233.1,Not Available
2020,5617487.2,429.1,Not Available
2020,13751732.6,830.9,Not Available
2020,31570757.4,2450.8,Not Available
2020,5010216.3,376.6,Not Available
2020,12533051,973,Not Available
2020,16521399.4,1027.8,Not Available
2020,6100802.8,356,Not Available
2020,10250036.1,761.5,Not Available
2020,3895461,231.6,Not Available
2020,18626440,1416.3,Not Available
2020,8184659,500.2,Not Available
2020,7185943.2,417.2,Not Available
2020,8520141.5,604.1,Not Available
2020,5216509.6,364.9,Not Available
2020,18694328.2,1313.9,Not Available
2020,21370591.9,1627.6,Not Available
2020,7191061.6,512.3,Not Available
2020,12900603.6,998.6,Not Available
2020,6338277.6,420,Not Available
2020,9239210.4,661.2,Not Available
2020,12903931.6,767.4,Not Available
2020,8572649.3,602.3,Not Available
2020,22417791.5,1722.5,Not Available
2020,14902909.8,943,Not Available
2020,15071450.6,1169.2,Not Available
2020,18856318.7,1195.8,Not Available
2020,12476851.7,949.3,Not Available
2020,9969286.8,593.3,Not Available
2020,7072661.4,423.9,Not Available
2020,7996784.7,570.3,Not Available
2020,32325342.5,1909.2,Not Available
2020,26028754.5,1532.5,Not Available
2020,13398650.5,806,Not Available
2020,27610680.6,1897.9,Not Available
2020,24359699.4,1460.9,Not Available
2020,11500923.5,700.9,Not Available
2020,7445224.3,437.4,Not Available
2020,8745406.6,507.4,Not Available
2020,20248581.8,1396.1,Not Available
2020,11915265.3,693.7,Not Available
2020,8180681.9,470.7,Not Available
2020,5153689.3,295.9,Not Available
2020,5044418.5,290.2,Not Available
2020,5102041.6,293.3,Not Available
2020,4785008.4,276.5,Not Available
2020,4976842,285.1,Not Available
2020,5114118.9,293.4,Not Available
2020,7154575.4,419.2,Not Available
2020,16169885.6,943.4,Not Available
2020,35776752.3,2101.3,Not Available
2020,17556436,1024.3,Not Available
2020,39255646.7,2334.3,Not Available
2020,12634491.4,744,Not Available
2020,14774280.5,890.8,Not Available
2020,3918020.7,296.7,Not Available
2020,6748078.8,482.3,Not Available
2020,2808033.4,191.2,Not Available
2020,6070604.1,467.5,Not Available
2020,4842055.5,370.5,Not Available
2020,5757973.2,437.2,Not Available
2020,17504505.5,1337,Not Available
2020,8310329.7,628.7,Not Available
2020,14305943.4,836.8,Not Available
2020,13085846.4,816.2,Not Available
2020,10346635,640.7,Not Available
2020,9912733.3,619.5,Not Available
2020,4853756.2,277.3,Not Available
2020,12409264.7,995.5,Not Available
2020,5690846.6,395.4,Not Available
2020,4764190.2,308.6,Not Available
2020,1828791.6,149.7,Not Available
2020,7999323.2,610.8,Not Available
2020,4501821,287.9,Not Available
2020,8751819,512.6,Not Available
2020,53778036.7,4289.2,Not Available
2020,7421137.8,491.2,Not Available
2020,14464295.8,1107.9,Not Available
2020,10839361.7,691.4,Not Available
2020,10505411.8,674.5,Not Available
2020,2801084,205.4,Not Available
2020,6395968.4,420.1,Not Available
2020,41015746.2,2564.9,Not Available
2020,93449380.3,6390,Not Available
2020,2062786.3,128.6,Not Available
2020,2710866.8,163.6,Not Available
2020,55286845.6,3280.4,Not Available
2020,17326002,1166.4,Not Available
2020,36123558.2,2553.5,Not Available
2020,15277811.2,1056,Not Available
2020,22407632.6,1565.8,Not Available
2020,14777433.3,886.9,Not Available
2020,11534077.3,890.1,Not Available
2020,13668837.9,818.8,Not Available
2020,8587089.4,504.2,Not Available
2020,6990396.9,477.4,Not Available
2020,6943626.8,532.9,Not Available
2020,2272524.9,177.8,Not Available
2020,3649136.4,252.6,Not Available
2020,7279384.1,560.4,Not Available
2020,5487614.5,381.9,Not Available
2020,16140272.1,1118,Not Available
2020,4255931.3,323,Not Available
2020,10569768.1,672.2,Not Available
2020,4105996.4,304.7,Not Available
2020,2917397.8,220.1,Not Available
2020,3240917.3,195.3,Not Available
2020,2495438,173.9,Not Available
2020,3149735.4,192.7,Not Available
2020,1877409.2,158.7,Not Available
2020,2258105.7,133,Not Available
2020,3337365.3,213.1,Not Available
2020,9903969,805.5,Not Available
2020,2000639.7,151.9,Not Available
2020,4004126.3,264.7,Not Available
2020,10717619.8,740,Not Available
2020,3182986.8,229.2,Not Available
2020,4337906.4,293.2,Not Available
2020,3955326.4,280.7,Not Available
2020,48169960.2,2895.5,Not Available
2020,24709912.1,1714.3,Not Available
2020,3768878.9,282.2,Not Available
2020,37811722.4,2698.5,Not Available
2020,9187959.7,617,Not Available
2020,32118312.7,2319.5,Not Available
2020,1663528,140.4,Not Available
2020,38904235.3,2674.3,Not Available
2020,4066492.8,254.6,Not Available
2020,9275434.9,605.9,Not Available
2020,10773412,670.7,Not Available
2020,4136125.9,248.4,Not Available
2020,3497884,241.4,Not Available
2020,3133457.1,217.6,Not Available
2020,4171093.8,330.8,Not Available
2020,4920455.8,305.9,Not Available
2020,896161.7,75,Not Available
2020,11001288.8,756.1,Not Available
2020,67319888.8,3599.9,Not Available
2020,2003668.7,169.4,Not Available
2020,3138249.2,236.1,Not Available
2020,2242441.7,165.4,Not Available
2020,6887979.3,447.5,Not Available
2020,3729882.3,283.5,Not Available
2020,16087567.4,1163.1,Not Available
2020,8787352.1,534.6,Not Available
2020,4420271.5,317.5,Not Available
2020,11181833.4,685.4,Not Available
2020,6775813.9,389,Not Available
2020,14156935.8,822.5,Not Available
2020,11016912.1,650.3,Not Available
2020,11675426,689.4,Not Available
2020,16068717.3,1007.3,Not Available
2020,2783196.2,192.7,Not Available
2020,4114379.8,345.3,Not Available
2020,12875082.2,1088.5,Not Available
2020,15920286.7,1280.1,Not Available
2020,1989659.7,119.1,Not Available
2020,1717436.9,145.2,Not Available
2020,3106916.8,188.1,Not Available
2020,6935698.5,496.2,Not Available
2020,3183299.2,185.7,Not Available
2020,8590315.6,669.4,Not Available
2020,3364737.7,198.9,Not Available
2020,72711497.3,4159.4,Not Available
2020,4188429.7,243.9,Not Available
2020,7040939.7,423.3,Not Available
2020,3412376.4,265.5,Not Available
2020,8218051.4,694.8,Not Available
2020,49957942.9,2844.6,Not Available
2020,40619018.8,2369.5,Not Available
2020,37618893.7,2171.1,Not Available
2020,36056224.6,2081.7,Not Available
2020,21888117.3,1297.5,Not Available
2020,18272457.7,1211.2,Not Available
2020,15830955.7,1004.9,Not Available
2020,6596171.9,487.9,Not Available
2020,6513256.4,420,Not Available
2020,7490139.4,570.8,Not Available
2020,5103713.3,383.4,Not Available
2020,5779066.6,333.1,Not Available
2020,1532456.6,129.5,Not Available
2020,9369216.2,562.7,Not Available
2020,4182730.2,309.1,Not Available
2020,3087699,216.5,Not Available
2020,3681737.2,279.8,Not Available
2020,4205320.8,230.4,Not Available
2020,3939959,232.7,Not Available
2020,5261332,309.7,Not Available
2020,997426.6,84.3,Not Available
2020,2886216.8,167.6,Not Available
2020,2047200,173.1,Not Available
2020,3094967.7,233.5,Not Available
2020,2952701.5,214.5,Not Available
2020,5302470.5,336.5,Not Available
2020,2991750.5,204.6,Not Available
2020,6418044.8,454,Not Available
2020,12805927.5,819.4,Not Available
2020,1476578.9,124.8,Not Available
2020,4826521.9,324.5,Not Available
2020,1219658.1,103.1,Not Available
2020,83240175.5,4879.9,Not Available
2020,136039226.2,7999.9,Not Available
2020,58175994.3,3539.4,Not Available
2020,7373500,453.8,Not Available
2020,3766345.6,238.9,Not Available
2020,11417887.7,664.4,Not Available
2020,15555012.2,916.9,Not Available
2020,9198693.3,557.3,Not Available
2020,8940459.9,564.5,Not Available
2020,4445269.1,272.6,Not Available
2020,3169485.8,187.8,Not Available
2020,5348600.2,307.7,Not Available
2020,2479154.5,148.6,Not Available
2020,2703090,165.6,Not Available
2020,4503871.1,259.9,Not Available
2020,1826845.9,113.3,Not Available
2020,4855234.6,282.5,Not Available
2020,2750452.6,170.3,Not Available
2020,3221321.8,197.5,Not Available
2020,2249883.2,190.2,Not Available
2020,2400395.9,136.3,Not Available
2020,7327183,434.1,Not Available
2020,12344869.5,736.2,Not Available
2020,8398342.5,488.4,Not Available
2020,5303677.3,313.3,Not Available
2020,9010964.1,570.6,Not Available
2020,8124810.7,515.7,Not Available
2020,7959868.8,497.6,Not Available
2020,10967739.4,686.4,Not Available
2020,7318845.6,496.5,Not Available
2020,10996566.8,669.6,Not Available
2020,5774074.1,421,Not Available
2020,4529611.8,276,Not Available
2020,7974090.9,484,Not Available
2020,12516097.1,758,Not Available
2020,36394361.1,2124.6,Not Available
2020,35773562.9,2157.7,Not Available
2020,3957509.4,250.2,Not Available
2020,6933420.7,439.7,Not Available
2020,11404935,697.2,Not Available
2020,18362796.7,1109.2,Not Available
2020,5398697.5,323.1,Not Available
2020,9516790.8,540.5,Not Available
2020,3795121.4,234.9,Not Available
2020,764491.2,58.4,Not Available
2020,3500495.4,212.9,Not Available
2020,4349773.2,279.7,Not Available
2020,3828954.8,306.6,Not Available
2020,3507844.5,296.6,Not Available
2020,1922472.9,127.8,Not Available
2020,6818306.4,383.2,Not Available
2020,497828.5,39.9,Not Available
2020,3862743.7,223.3,Not Available
2020,7316135,423.1,Not Available
2020,5619725.9,340.9,Not Available
2020,19360757.4,1136.2,Not Available
2020,3499489.1,201,Not Available
2020,7141447.8,427.6,Not Available
2020,15348859.7,950.1,Not Available
2020,3721414.8,238.9,Not Available
2020,9673163.9,703.3,Not Available
2020,11355511.7,736.4,Not Available
2020,18915942.2,1165.7,Not Available
2020,11566055.9,720.9,Not Available
2020,14019224.9,1051.4,Not Available
2020,6156523.8,438.6,Not Available
2020,12247412,879.8,Not Available
2020,12384259.1,930.4,Not Available
2020,4007890.8,287,Not Available
2020,4965989.9,357.7,Not Available
2020,8226650.5,572.6,Not Available
2020,9190114.1,648.8,Not Available
2020,5747268.4,355.9,Not Available
2020,10010188.8,603.2,Not Available
2020,3873008.3,296.5,Not Available
2020,13199625.8,830.4,Not Available
2020,6678328.9,438.8,Not Available
2020,3082087.3,223,Not Available
2020,15242649.6,1098.4,Not Available
2020,12283743.5,723.4,Not Available
2020,12974510.7,828.7,Not Available
2020,8095498.9,617.2,Not Available
2020,8933117.5,544.7,Not Available
2020,24720040.3,1457,Not Available
2020,7080886.5,505.3,Not Available
2020,24835770.3,1572.6,Not Available
2020,7940508.3,601.1,Not Available
2020,11186107.5,663.9,Not Available
2020,9942983.1,693,Not Available
2020,5461039.8,396.7,Not Available
2020,3737165.9,272.9,Not Available
2020,19736477.2,1196.5,Not Available
2020,9058482.9,658.5,Not Available
2020,26583882.4,1641.1,Not Available
2020,3869456.9,293.7,Not Available
2020,13100127.2,957.8,Not Available
2020,10718825.7,658.6,Not Available
2020,9619761.2,612.4,Not Available
2020,7905571.8,626.3,Not Available
2020,14309870.1,893.4,Not Available
2020,34531442.5,2171.9,Not Available
2020,13474549.6,825.1,Not Available
2020,8140589.2,498.6,Not Available
2020,3579426.1,267.1,Not Available
2020,19423051.1,1409.8,Not Available
2020,8963766,676.8,Not Available
2020,18137500.3,1133.8,Not Available
2020,6321159.3,393.3,Not Available
2020,11054165.9,669.9,Not Available
2020,4585380.4,353,Not Available
2020,11261031.1,708.4,Not Available
2020,20716240.9,1487.6,Not Available
2020,15024865.1,1106.5,Not Available
2020,8119812.6,510.7,Not Available
2020,2803287.6,205.1,Not Available
2020,7550367.1,550.2,Not Available
2020,14441733.5,1084.2,Not Available
2020,7568894.3,579.5,Not Available
2020,18334866.9,1392.2,Not Available
2020,4948487.8,278.8,Not Available
2020,12872189.1,724,Not Available
2020,14041121.2,788.6,Not Available
2020,5157044.2,394.7,Not Available
2020,26158143.9,1710.9,Not Available
2020,6488361.3,467.5,Not Available
2020,3818071.5,242.8,Not Available
2020,20576214.6,1201.9,Not Available
2020,10527928.9,657.6,Not Available
2020,9601479.4,614.9,Not Available
2020,4345704,367.4,Not Available
2020,35118035.2,2143,Not Available
2020,12296070.6,768.2,Not Available
2020,65004865.6,3841.1,Not Available
2020,5260613,373.7,Not Available
2020,16552729.7,954,Not Available
2020,8963495.7,588.1,Not Available
2020,7576438.6,478.5,Not Available
2020,23104789.4,1359.1,Not Available
2020,25955980.7,1855.4,Not Available
2020,6759471.6,444.2,Not Available
2020,13104964.8,823.4,Not Available
2020,7088273.9,513.1,Not Available
2020,6345700.7,486.1,Not Available
2020,10854509.5,639.4,Not Available
2020,25158815.8,1575.7,Not Available
2020,10716897.4,665,Not Available
2020,3880787.4,228.7,Not Available
2020,21092471,1261.8,Not Available
2020,8710169.6,541.8,Not Available
2020,9949919.7,581.5,Not Available
2020,19372804.2,1204.4,Not Available
2020,8002906.3,473.8,Not Available
2020,4173057.2,319.8,Not Available
2020,12805840.6,973.5,Not Available
2020,35978922.6,2448.1,Not Available
2020,4971409.8,345.4,Not Available
2020,5254878,328.7,Not Available
2020,86176410.3,4614.8,Not Available
2020,8242256.4,696.8,Not Available
2020,8588585,726.1,Not Available
2020,20199862.2,1382.3,Not Available
2020,13511421.2,820.2,Not Available
2020,20618735.7,1555.7,Not Available
2020,18383935,1078.8,Not Available
2020,14673745.3,1040.7,Not Available
2020,13862513.7,1001.3,Not Available
2020,13756755.1,907.8,Not Available
2020,11212154.2,758.3,Not Available
2020,8126394.3,610.2,Not Available
2020,5755387.6,335.2,Not Available
2020,53585457.2,3333.1,Not Available
2020,25319212.9,1525.1,Not Available
2020,20517509,1327.5,Not Available
2020,8016800.1,555.8,Not Available
2020,3913956.5,297.3,Not Available
2020,10803250,773.7,Not Available
2020,6246202.6,525.3,Not Available
2020,5088708,390.1,Not Available
2020,22093307.8,1639.5,Not Available
2020,9790280.4,596.1,Not Available
2020,16567861.1,1133.5,Not Available
2020,12409611.7,934.5,Not Available
2020,6853864,524.7,Not Available
2020,4039314.6,305.8,Not Available
2020,16163787.5,960.5,Not Available
2020,13006707.8,783.3,Not Available
2020,7215376.5,423.4,Not Available
2020,12371995.8,901.6,Not Available
2020,10964965.2,845.5,Not Available
2020,11090552,689.3,Not Available
2020,14088485.3,1084.1,Not Available
2020,9562982.3,576.9,Not Available
2020,17801969.6,1262.9,Not Available
2020,13938661.2,836.9,Not Available
2020,6798083.9,410,Not Available
2020,9413760.8,580.8,Not Available
2020,11588307.4,894.9,Not Available
2020,20846569.2,1230.8,Not Available
2020,10696226.1,656.4,Not Available
2020,38005294.4,2340,Not Available
2020,15241632.7,901.8,Not Available
2020,5605503.8,429.3,Not Available
2020,7253194.5,554.8,Not Available
2020,4883952.1,371.7,Not Available
2020,5791106.2,418,Not Available
2020,8700779,571.1,Not Available
2020,16282202.8,977,Not Available
2020,38081453.5,2247.6,Not Available
2020,28204886.6,1673.1,Not Available
2020,11971514.9,848.8,Not Available
2020,28223826.1,2099.3,Not Available
2020,13350731,816.5,Not Available
2020,4610153.3,349.4,Not Available
2020,10871730.8,650.9,Not Available
2020,7695563.6,522,Not Available
2020,5160484.5,369.9,Not Available
2020,13091765.3,913.4,Not Available
2020,12043279.4,925,Not Available
2020,4222383.4,253.7,Not Available
2020,31464101.3,1851.6,Not Available
2020,11081083.1,670.6,Not Available
2020,6805733.9,399.1,Not Available
2020,27911290.6,1681.9,Not Available
2020,4037895.2,309.1,Not Available
2020,15692048.7,1010.3,Not Available
2020,8506125.8,572.8,Not Available
2020,4737970.9,342.5,Not Available
2020,9780310.6,688.6,Not Available
2020,6161886.5,449.9,Not Available
2020,87158426.3,5199.6,Not Available
2020,21695046.9,1656.8,Not Available
2020,8582323.2,506.2,Not Available
2020,9263359.2,715.1,Not Available
2020,7172963.8,450.7,Not Available
2020,6651163.8,514.1,Not Available
2020,3802476.6,269.7,Not Available
2020,10319537.4,612.7,Not Available
2020,6378243.6,450,Not Available
2020,13442854.4,979.9,Not Available
2020,12065851.9,833.4,Not Available
2020,32973759.8,1945.9,Not Available
2020,11522853.9,816.3,Not Available
2020,7264556.6,549.3,Not Available
2020,10190844.9,780.7,Not Available
2020,8545657.2,605,Not Available
2020,6385912.7,380.2,Not Available
2020,30130764.9,2294.8,Not Available
2020,7215635.5,492.1,Not Available
2020,5402566.7,320.5,Not Available
2020,22697293.9,1404.2,Not Available
2020,50574063.6,3043.5,Not Available
2020,14462178.5,830.5,Not Available
2020,17139001.9,981.3,Not Available
2020,27310199.4,1560.1,Not Available
2020,18189686.3,1033.7,Not Available
