year,energy_kbtu,ghg_tons,dc_floor
2021,28621509.3,2190.6,Not Available
2021,90318696,6184.2,Not Available
2021,32329714.8,2407.5,Not Available
2021,27516842.6,2003.9,Not Available
2021,126054250.5,8976.8,Not Available
2021,937339558.4,52912.9,Not Available
2021,1062846483,50765.6,Not Available
2021,76250656.2,4958.9,Not Available
2021,49996014.1,3781.9,6320
2021,57972043.4,4605.3,23196
2021,90063884.4,6601.7,Not Available
2021,60745563.6,4389.5,Not Available
2021,Not Available,Not Available,Not Available
2021,7647464.2,563.7,Not Available
2021,3172471,229.1,Not Available
2021,138709156.3,9960.6,3156
2021,37774730.2,2767.7,15450
2021,34994467.7,5725,Not Available
2021,303658716.3,22105.6,Not Available
2021,126409102.4,9210.9,Not Available
2021,75403913.2,5662.4,Not Available
2021,157855797.2,11683.1,18000
2021,215905832,15683.6,Not Available
2021,238865670.1,16656.6,4894
2021,152075751.7,11196.4,4922
2021,91866537.2,7005.1,12000
2021,98654873.5,7203,Not Available
2021,101034190.7,2121.3,73536
2021,172354571.4,13018.9,26811
2021,139628061.6,10341.2,8266
2021,309025830.2,18401.5,3100
2021,87137797.3,6406.7,2900
2021,69077340.1,5033,Not Available
2021,74267210.5,5335.5,Not Available
2021,13195586.9,954,Not Available
2021,166371008.4,12805.6,6000
2021,6510579,Not Available,Not Available
2021,5989140.3,Not Available,Not Available
2021,8712996.8,621.3,Not Available
2021,3924939.4,286.8,Not Available
2021,62410712.6,4830.5,Not Available
2021,61120752.2,4776.5,Not Available
2021,33426524.4,2477.8,Not Available
2021,26745159.4,2019.9,1910
2021,82180777.9,4810,Not Available
2021,45652061.1,3360.8,Not Available
2021,46736466.2,3480,Not Available
2021,304706258.3,21770.6,Not Available
2021,33899866.6,2625,Not Available
2021,60015821.3,4764.7,3807
2021,215990096.7,15548.9,10969.4
2021,8251625.5,621.5,Not Available
2021,34413839.9,2472.9,Not Available
2021,7418286,569.1,Not Available
2021,48835719.3,3455.3,Not Available
2021,10544968.6,802.9,Not Available
2021,99494987.9,7168.3,Not Available
2021,28215821.9,2065.3,Not Available
